,,Navn (Kilde til variasjon),Egnethet til ØG,Kartstatus,Kartformat,Kilder,Kort beskrivelse av produksjon,"Kommentarer (fremtidige muligheter, nye datasett, begrensninger etc.)"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),AS,Arid terrestrisk salinitet,?,kartlegges?,,,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),BK,Berggrunn med avvikende kjemisk sammensetning,X,,,Bergrunn/NGU,Oversettelse mot bergarter,1. Versjon klart med ultramafisk (Basistrinn BK-a)
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),DL,Dybderelatert lyssvekking,X,modellerbart,,HI/NIVA/NGU,,Testdata i utvikling i regi av Mareano (NGU)
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),DM,Dybderelatert miljøstabilisering,?,modellerbart?,,,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),ER,Erosjonsutsatthet,?,kartlegging dekningsgrad!,,NVE,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),FK,Ferskvannsforekomster med avvikende kjemisk sammensetning,?,,,,,Miljødata for ferskvann? Vanndirektivet?
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),GS,Grottebetinget skjerming,X?,20 m kote modell,høydemodell,PCAterreng,skalaavhening,Generell vurdering for variabler knyttet til helning. Usikkert mtp. Denne som er spissere
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),HF,Helningsbetinget forstyrrelsesintensitet,X,20 m kote modell,høydemodell,PCAterreng,skalaavhening,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),HI,Hevdintensitet,X,kartlegging,AR5,S&L,sette sammen diverse kart fra S&L,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),HR,Semi-naturlig hevdregime,?,kartlegging,AR5?,Beitekart/GAB?,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),HS,Hovedtypespesifikk inndeling,,,,,,Må behandles typevis
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),HU,Humusinnhold (vannfarge),X,Vanndirektivet?,,Vanndirektivet/NINA/NIVA,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),IF,Isbetinget forstyrrelse,?,,,,,Modellering ferskvann. Kyst?
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),IO,Innhold av organisk materiale,X?,kartlegging + modellering,"Høydemodeløler, Jordsmonnskart, m.m.",Flere,,"Generell variabel som kan generere flere kartlag ihhv. Ferskvann, marint, terrestrisk"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),JF,Jordflyt,X?,modellerbart,temp/snødekke,MI/Etzmuller,,"Vurdering for frostpåvirkning generelt, må vurderes mer spesifikt"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),JV,Jordvarmeinnflytelse,X,kartlagt,,NP,Jan Mayen/midtatlantiske rygg/Trollkildene på Svalbard,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),KA,Kalkinnhold,X,,,Bergrunn/NGU,Oversettelse mot bergarter,1. Versjon klar for ØG
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),KI,Kildevannspåvirkning,?,kartleggbart/knapt modellerbart,,kildedatabase??,NGU?,"Mer generell vurdering, må vurderes mer spesifikt"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),KO,Konnektivitet,?,,modellerbart?,ferskvannsdata/NVE?,,Modellering av om vannsystemer henger sammen eller er isolerte.
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),KT,Kildetype,?,,usikkert,,,Må vurdere eksplisitt på trinn. Svært forskjellige kildetyper i terrestrisk/ferskvann mot marine. Marine kilder mest aktuelle her?
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),KY,Kysttilknytning,?,,modellerbart?,,,To karttema: kystvann + havvann/atlantisk vann. Må utredes.
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),LA,Langsom primær suksesjon,X?,kartlegge 1750 morener/grove modeller,,NINA/Lars - flyfoto,"Bredatlas over Norge, Strandvoller, geologisk litteratur","Spesifikke vurderinger, mer generell nå - må gjennomgås på nytt"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),LK,Langsom sekundær suksesjon på korallrev-bunn,?,kartleggingsøvelse?,,HI,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),MB,Markbearbeiding,?,,,Landbruksdata?,,Spesifikk til oppdyrking - må vurderes
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),MF,Myrflatepreg,?,modellerbar?,,,,Må vurderes
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),MX,"Semi-naturlig mark/bunn uten hevdpreg, preget av menneskebetinget forstyrrelse",?,,,,,Omfattende og kompleks variabel som omfatter mange typer forstyrrelse. Må vurderes mer detaljert.
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),NG,Naturlig gjødsling,?,,,Landbruksdata?,,
